title,ingredients,instructions,url
Canadian Butter Tarts Style,Butter; Raisins; Vanilla Extract; Walnuts; Muscovado Sugar; Single Cream; Shortcrust Pastry; Eggs,"Preheat the oven to fan 170C/ conventional 190C/gas 5.
 Roll out the pastry on a lightly floured surface so it’s slightly thinner than straight from the pack.
 Then cut out 18-20 rounds with a 7.
5cm fluted cutter, re-rolling the trimmings.
 Use the rounds to line two deep 12-hole tart tins (not muffin tins).
 If you only have a regular-sized, 12-hole tart tin you will be able to make a few more slightly shallower tarts.

Beat the eggs in a large bowl and combine with the rest of the ingredients except the walnuts.
 Tip this mixture into a pan and stir continuously for 3-4 minutes until the butter melts, and the mixture bubbles and starts to thicken.
 It should be thick enough to coat the back of a wooden spoon.
 Don’t overcook, and be sure to stir all the time as the mixture can easily burn.
 Remove from the heat and stir in the nuts.

Spoon the filling into the unbaked tart shells so it’s level with the pastry.
 Bake for 15-18 minutes until set and pale golden.
 Leave in the tin to cool for a few minutes before lifting out on to a wire rack.
 Serve warm or cold.
",https://www.bbcgoodfood.com/recipes/1837/canadian-butter-tarts
Laksa King Prawn Noodles Recipe,coriander; coconut milk; fish sauce; lime; Olive Oil; king prawns; vegetable stock cube; Thai red curry paste; Red Chilli; rice noodles,"Heat the oil in a medium saucepan and add the chilli.
 Cook for 1 min, then add the curry paste, stir and cook for 1 min more.
 Dissolve the stock cube in a large jug in 700ml boiling water, then pour into the pan and stir to combine.
 Tip in the coconut milk and bring to the boil.

Add the fish sauce and a little seasoning.
 Toss in the noodles and cook for a further 3-4 mins until softening.
 Squeeze in the lime juice, add the prawns and cook through until warm, about 2-3 mins.
 Scatter over some of the coriander.

Serve in bowls with the remaining coriander and lime wedges on top for squeezing over.
",https://www.bbcgoodfood.com/recipes/prawn-laksa-curry-bowl
Stir-fried chicken with chillies & basil Homemade,Chicken; Garlic; Sugar; Shallots; Soy Sauce; Vegetable Oil; Basil Leaves; Fish Sauce; Red Chilli,"Heat a wok or large frying pan until it is very hot, then add 1 tbsp of the oil.
 When it is very hot, add the chicken and stir-fry over a high heat for 8-10 minutes, until browned all over.
 Using a slotted spoon, take the chicken from the pan and set aside.


step 2
Reheat the wok and add the remaining oil.
 Toss in the garlic and shallots and stir fry for 3 minutes, until golden brown.


step 3
Return the chicken to the wok and add the chillies, fish sauce, dark soy sauce and sugar.
 Stir fry over a high heat for a further 8-10 minutes or until the chicken is cooked through.
 Stir in the basil leaves and serve at once.
",https://www.bbcgoodfood.com/recipes/ken-homs-stir-fried-chicken-chillies-basil
Chicken Fried Rice Homemade,Garlic; Chicken Thighs; Salt; Carrots; Peas; Chinese five spice powder; Onion; Egg; Sesame Seed Oil; Canola Oil; Scallions; Ground Ginger; Soy Sauce; Jasmine Rice,"Fried rice is best made with leftover rice that's at least a day old. Otherwise it becomes gummy in the skillet.
If you don’t have any leftover rice from the night before, cook a batch of rice and spread it on a large baking sheet or several large plates. Let the rice dry out for about 1 to 2 hours before using it for fried rice.

Rice sticks to the pan very easily, so make sure to use a wok or pan that doesn’t have a sticky surface. I usually cook stir-fries in my seasoned carbon steel wok, but cast iron or nonstick pans work well, too. You might need to add a little more oil if things aren’t releasing easily.

Prepare the chicken:
Chop the chicken into small 1/4-inch to 1/2-inch cubes. Sprinkle 1/2 teaspoon of salt over the chicken and mix to combine. Set the chicken aside for about 10 minutes (I usually use this time to chop all the vegetables).

Scramble the egg:
Heat a wok or large sauté pan over medium-high heat. Swirl in a tablespoon of oil and add the whisked eggs. Use a spatula to quickly scramble the eggs, breaking the curds into smaller pieces as they come together. Transfer the eggs to a plate.

Cook the chicken:
Add another tablespoon of oil in the wok or pan. Add the chicken and cook for 4 to 5 minutes, stirring occasionally. Turn off the heat and transfer the cooked chicken to a plate.

Using your spatula, scrape off any chicken bits that are still stuck to the wok so they don't burn during the next step. You can also use paper towels to wipe down your wok or pan.

Cook the vegetables:
Swirl 1 tablespoon of oil into the wok over medium-high heat. Add the diced onions and cook them for 1 minute, until they start to soften. Mix in the minced garlic and ginger and cook until fragrant, about 30 seconds. Add the diced carrots and cook for 2 minutes, stirring frequently. Add 1/2 teaspoon salt and the peas, and stir to incorporate.

Cook the rice:
Add the rice to the wok or pan on top of the vegetables and stir to combine. Using the back of your spatula, smash any large chunks of rice to break them apart. Add the white and green parts of the sliced scallions (save the dark green parts) and five-spice powder. Stir to incorporate. If the rice starts to stick to the pan, stir in a little more oil.

Drizzle the soy sauce and sesame oil over the rice and stir to incorporate. Stir in the cooked chicken, scrambled eggs, and the dark parts of the scallions. Stir briefly to bring it together, and cook for another 1 to 2 minutes.

Serve:
Taste, and add more soy sauce if necessary. Serve immediately.",https://www.simplyrecipes.com/recipes/chicken_fried_rice/
French Omelette Homemade,Tarragon Leaves; Parsley; Chives; Gruyère; Eggs; Parmesan; Butter,"Get everything ready. Warm a 20cm (measured across the top) non-stick frying pan on a medium heat. Crack the eggs into a bowl and beat them with a fork so they break up and mix, but not as completely as you would for scrambled egg. With the heat on medium-hot, drop one knob of butter into the pan. It should bubble and sizzle, but not brown. Season the eggs with the Parmesan and a little salt and pepper, and pour into the pan.
Let the eggs bubble slightly for a couple of seconds, then take a wooden fork or spatula and gently draw the mixture in from the sides of the pan a few times, so it gathers in folds in the centre. Leave for a few seconds, then stir again to lightly combine uncooked egg with cooked. Leave briefly again, and when partly cooked, stir a bit faster, stopping while there’s some barely cooked egg left. With the pan flat on the heat, shake it back and forth a few times to settle the mixture. It should slide easily in the pan and look soft and moist on top. A quick burst of heat will brown the underside.
Grip the handle underneath. Tilt the pan down away from you and let the omelette fall to the edge. Fold the side nearest to you over by a third with your fork, and keep it rolling over, so the omelette tips onto a plate – or fold it in half, if that’s easier. For a neat finish, cover the omelette with a piece of kitchen paper and plump it up a bit with your fingers. Rub the other knob of butter over to glaze. Serve immediately.",https://www.bbcgoodfood.com/recipes/1669/ultimate-french-omelette
Sugar Pie Homemade,Brown Sugar; Plain Flour; Salt; Butter; Milk; Vanilla Extract; Eggs,"Preheat oven to 350 degrees F (175 degrees C). Grease a 9-inch pie dish.
Place the brown sugar and butter in a mixing bowl, and beat them together with an electric mixer until creamy and very well combined, without lumps. Beat in eggs, one at a time, incorporating the first egg before adding the next one. Add the vanilla extract and salt; beat the flour in, a little at a time, and then the milk, making a creamy batter. Pour the batter into the prepared pie dish.
Bake in the preheated oven for 35 minutes; remove pie, and cover the rim with aluminum foil to prevent burning. Return to oven, and bake until the middle sets and the top forms a crusty layer, about 15 more minutes. Let the pie cool to room temperature, then refrigerate for at least 1 hour before serving.",http://allrecipes.com/recipe/213595/miraculous-canadian-sugar-pie/
"Stovetop Eggplant With Harissa, Chickpeas, and Cumin Yogurt Homemade",Harissa Spice; Greek yogurt; Cherry Tomatoes; Chickpeas; Parsley; Ground cumin; Egg Plants; Olive Oil,"Heat the oil in a 12-inch skillet over high heat until shimmering.
 Add the eggplants and lower the heat to medium.
 Season with salt and pepper as you rotate the eggplants, browning them on all sides.
 Continue to cook, turning regularly, until a fork inserted into the eggplant meets no resistance (you may have to stand them up on their fat end to finish cooking the thickest parts), about 20 minutes, lowering the heat and sprinkling water into the pan as necessary if the eggplants threaten to burn or smoke excessively.


2.

Mix the harissa, chickpeas and tomatoes together, then add to the eggplants.
 Cook until the tomatoes have blistered and broken down, about 5 minutes more.
 Season with salt and pepper and add water as necessary to thin to a saucy consistency.
 Meanwhile, combine the yogurt and cumin in a serving bowl.
 Season with salt and pepper.


3.

Top the eggplant mixture with the parsley, drizzle with more extra virgin olive oil, and serve with the yogurt on the side.
",http://www.seriouseats.com/2014/09/one-pot-wonders-stovetop-eggplant-harissa-chickpeas-cumin.html
Easy Vietnamese pork salad,Cucumber; Red Chilli; Celery; Fish Sauce; Coriander; Lime; Coriander; Lemongrass Stalks; Sesame Seed Oil; Golden Caster Sugar; Lime; Spring Onions; Pork Tenderloin; Soy Sauce; Vegetable Oil; Red Chilli; White Cabbage; Mint,"step 1
The day before: make the dressing.
 Put the sugar and lime juice in a pan with 1 tbsp water and bring to the boil to dissolve the sugar.
 Add the chilli and coriander and stir well, then pulse in a blender until smooth.
 Tip into a bowl, then stir in the sesame oil, fish sauce, soy sauce and sesame seeds to make a dressing.
 Cover and chill until needed.


step 2
Two hours before serving: heat a griddle pan.
 Preheat the oven to 200C/gas 6/fan 180C.
 Brush the pork with oil and griddle on all sides for a few minutes until seared.
 Transfer to a baking tray and put in the oven for about 10-12 minutes until cooked through.
 Cool, thinly slice against the grain of the meat.
 Tip into a bowl and pour over half the dressing.


step 3
To serve: toss the remaining salad ingredients in a bowl with the remaining dressing.
 Pile on to a platter, top with the pork slices and spoon over any juices.
",https://www.bbcgoodfood.com/recipes/vietnamese-pork-salad
Thai curry noodle soup,Vegetable Oil; Spring Onions; Basil; Coconut Milk; Udon Noodles; Stir-fry Vegetables; Coriander; Vegetable Stock; Red Chilli; Thai Green Curry Paste; Raw King Prawns,"step 1
Heat the oil in a saucepan over a medium heat and cook the curry paste for 1 min before adding the stir-fry veg and prawns.
 Cook for 3 mins until the prawns are mostly pink, then add the coconut milk, veg stock and noodles.


step 2
Bring to the boil, then reduce the heat to a simmer and cook for 5 mins until the noodles are cooked through and the veg is tender but still has a bite.
 Divide between two bowls and sprinkle over the herbs, chilli and spring onion.
",https://www.bbcgoodfood.com/recipes/thai-curry-noodle-soup
Chicken & mushroom Hotpot Homemade,Mushrooms; Chicken; Sweetcorn; Butter; Potatoes; Plain Flour; Nutmeg; Onion; Mustard Powder; Butter; Chicken Stock Cube,"Heat oven to 200C/180C fan/gas 6.
 Put the butter in a medium-size saucepan and place over a medium heat.
 Add the onion and leave to cook for 5 mins, stirring occasionally.
 Add the mushrooms to the saucepan with the onions.


Once the onion and mushrooms are almost cooked, stir in the flour – this will make a thick paste called a roux.
 If you are using a stock cube, crumble the cube into the roux now and stir well.
 Put the roux over a low heat and stir continuously for 2 mins – this will cook the flour and stop the sauce from having a floury taste.


Take the roux off the heat.
 Slowly add the fresh stock, if using, or pour in 500ml water if you’ve used a stock cube, stirring all the time.
 Once all the liquid has been added, season with pepper, a pinch of nutmeg and mustard powder.
 Put the saucepan back onto a medium heat and slowly bring it to the boil, stirring all the time.
 Once the sauce has thickened, place on a very low heat.
 Add the cooked chicken and vegetables to the sauce and stir well.
 Grease a medium-size ovenproof pie dish with a little butter and pour in the chicken and mushroom filling.


Carefully lay the potatoes on top of the hot-pot filling, overlapping them slightly, almost like a pie top.


Brush the potatoes with a little melted butter and cook in the oven for about 35 mins.
 The hot-pot is ready once the potatoes are cooked and golden brown.
",https://www.bbcgoodfood.com/recipes/chicken-mushroom-hot-pot
Sauerkraut pierogii,Sunflower Oil; Plain Flour; Hispi (sweetheart) Cabbage; Egg; Sauerkraut; Plain Flour; Vegetable Oil; Sour Cream; Vegetable Oil; Shallots; Shallots; Butter,"step 1
First, make the crispy shallots.
 Heat the oil in a saucepan to 180C (a cube of bread will turn golden in 15 secs).
 Toss the shallots in a little flour and deep-fry for 1 min or until light golden and crispy.
 Drain on kitchen paper.
 Can be made up to two days before and kept in an airtight container.


step 2
To make the filling, heat the oil in a medium non-stick frying pan and gently fry the shallots for 10 mins until starting to turn golden.


step 3
Add the sauerkraut and cabbage, and cook for 5-10 mins until the cabbage has softened.
 Taste and add a little salt if under-seasoned, or sugar if stringent.
 Scrape into a bowl and leave to cool completely.


step 4
To make the dough, mix the eggs and oil with 125ml water, then gradually add in the flour, mixing well with your hands.
 Knead it on a well-floured surface until the dough stops sticking to your hands.
 You should end up with firm, elastic dough.
 Wrap it in cling film and rest in the fridge for at least 30 mins, or overnight.


step 5
Flour your work surface generously.
 Roll out the dough to a 40cm circle or until the dough is as thick as £1 coin.


step 6
Using a 9cm cookie cutter, cut out discs in the dough – you should end up with about 25 discs.
 Do not throw away the off-cuts – we throw them in with the pierogi when boiling to minimise any waste.


step 7
Have a well-floured tray ready.
 Put 1 tsp of the filling into the centre of each disc.
 In your hand, fold in half around the filling and seal to create half-moon shapes.
 Put them on the floured tray, making sure they don’t touch each other.


step 8
Bring a large saucepan of salted water to the boil and carefully lower the pierogi in.
 Boil them for 2 mins or until they float to the top.


step 9
Drain and serve with a knob of butter and some soured cream.
 Finish by sprinkling the crispy shallots on top to serve.
",https://www.bbcgoodfood.com/recipes/pierogi
Roast aubergine with goat's cheese & toasted flatbread Recipe,Pita Bread; Red Chilli; Shallots; Extra Virgin Olive Oil; Aubergine; Mint; Cherry Tomatoes; Balsamic Vinegar; Goats Cheese; Rocket; Shallots,"step 1
Heat oven to 200C/180C fan/gas 6.
 Brush the aubergine slices with 1 tbsp of the oil, then season.
 Arrange on a baking tray or sheet and roast for 20 mins until browned, popping the tomatoes on the tray for the final 5 mins.
 Tear the flatbread into pieces and place on a separate baking sheet.
 Brown in the oven for 8 mins, or until crisp, then remove.


step 2
For the dressing, in a small bowl, mix the vinegar, mint, chopped shallots, chilli, remaining oil and some salt and pepper.


step 3
Scatter the aubergine slices, tomatoes, sliced shallot and crisp flatbread into a serving bowl.
 Pour over the dressing, sprinkle with the goat’s cheese and scatter over a little rocket.
",https://www.bbcgoodfood.com/recipes/roast-aubergine-goats-cheese-toasted-flatbread
Spanish chicken pie Recipe,Chicken; Green Olives; Tinned Tomatos; Paprika; Roasted pepper; Garlic; Potatoes; Olive Oil; Onion,"step 1
Heat oven to 200C/fan 180C/gas 6. Boil the potatoes for 15-20 mins until tender. Drain, return to the pan, then mash with some seasoning and 2 tsp of the paprika.

step 2
Meanwhile, heat the oil in a large pan, then fry the onions and garlic for a few mins until softened. Stir in the remaining paprika for 1 min, add the tomatoes , then, bring to a simmer. Tip into a large ovenproof dish, then stir in the chicken, peppers, olives and some seasoning.

step 3
Spoon over the mash, then bake for 15 mins until the mash is golden on top and the sauce is bubbling.",https://www.bbcgoodfood.com/recipes/spanish-chicken-pie
Spanish Chicken Style,Parsley; Chicken Stock; Olive Oil; Chicken Thighs; Paprika; Lemon; Onion,"step 1
Heat oven to 190C/170C fan/gas 5.
 Put all the ingredients into a large, wide ovenproof dish.
 Mix everything together with your hands and season.


step 2
Bake for 45 mins, stirring the onions after 20 mins, until the chicken is golden and the onions tender.
 Serve with rice.
",https://www.bbcgoodfood.com/recipes/spanish-chicken
